Cadena	Marca	Talla	Paq x Caja	Conteo	Familia	Producto	Codigo Producto
Mi Tienda Del Ahorro	Absorsec	CH	4	40	Pañal Bebe	Absorsec CH 4/40	1
Mi Tienda Del Ahorro	Absorsec	M	4	40	Pañal Bebe	Absorsec M 4/40	2
Mi Tienda Del Ahorro	Absorsec	G	4	40	Pañal Bebe	Absorsec G 4/40	3
Mi Tienda Del Ahorro	Absorsec	XG	4	40	Pañal Bebe	Absorsec XG 4/40	4
Mi Tienda Del Ahorro	Absorsec	XXG	4	40	Pañal Bebe	Absorsec XXG 4/40	5
Mi Tienda Del Ahorro	Absorsec	M	2	80	Pañal Bebe	Absorsec M 2/80	6
Mi Tienda Del Ahorro	Absorsec	G	2	80	Pañal Bebe	Absorsec G 2/80	7
Mi Tienda Del Ahorro	Absorsec	XG	2	80	Pañal Bebe	Absorsec XG 2/80	8
Mi Tienda Del Ahorro	Absorsec	XXG	2	80	Pañal Bebe	Absorsec XXG 2/80	9
Mi Tienda Del Ahorro	Suavelastic	RN	4	40	Pañal Bebe	Suavelastic RN 4/40	10
Mi Tienda Del Ahorro	Suavelastic	CH	4	40	Pañal Bebe	Suavelastic CH 4/40	11
Mi Tienda Del Ahorro	Suavelastic	M	4	40	Pañal Bebe	Suavelastic M 4/40	12
Mi Tienda Del Ahorro	Suavelastic	G	4	40	Pañal Bebe	Suavelastic G 4/40	13
Mi Tienda Del Ahorro	Suavelastic	XG	4	40	Pañal Bebe	Suavelastic XG 4/40	14
Mi Tienda Del Ahorro	Suavelastic	XXG	4	40	Pañal Bebe	Suavelastic XXG 4/40	15
Mi Tienda Del Ahorro	Suavelastic	XXXG	4	40	Pañal Bebe	Suavelastic XXXG 4/40	16
Mi Tienda Del Ahorro	Suavelastic	M	2	60	Pañal Bebe	Suavelastic M 2/60	17
Mi Tienda Del Ahorro	Suavelastic	G	2	60	Pañal Bebe	Suavelastic G 2/60	18
Mi Tienda Del Ahorro	Suavelastic	XG	2	60	Pañal Bebe	Suavelastic XG 2/60	19
Mi Tienda Del Ahorro	Suavelastic	XXG	2	60	Pañal Bebe	Suavelastic XXG 2/60	20
Mi Tienda Del Ahorro	Movilastic	G	4	40	Pañal Bebe	Movilastic G 4/40	21
Mi Tienda Del Ahorro	Movilastic	XG	4	40	Pañal Bebe	Movilastic XG 4/40	22
Mi Tienda Del Ahorro	Movilastic	XXG	4	40	Pañal Bebe	Movilastic XXG 4/40	23
Mi Tienda Del Ahorro	Comodisec 	CH	4	40	Pañal Bebe	Comodisec  CH 4/40	24
Mi Tienda Del Ahorro	Comodisec 	M	4	40	Pañal Bebe	Comodisec  M 4/40	25
Mi Tienda Del Ahorro	Comodisec 	G	4	40	Pañal Bebe	Comodisec  G 4/40	26
Mi Tienda Del Ahorro	Comodisec 	XG	4	40	Pañal Bebe	Comodisec  XG 4/40	27
Mi Tienda Del Ahorro	Comodisec 	M	2	80	Pañal Bebe	Comodisec  M 2/80	28
Mi Tienda Del Ahorro	Comodisec 	G	2	80	Pañal Bebe	Comodisec  G 2/80	29
Mi Tienda Del Ahorro	Comodisec 	XG	2	80	Pañal Bebe	Comodisec  XG 2/80	30
Mi Tienda Del Ahorro	Comodisec 	XXG	2	80	Pañal Bebe	Comodisec  XXG 2/80	31
Mi Tienda Del Ahorro	Chicolastic 	CH	4	40	Pañal Bebe	Chicolastic  CH 4/40	32
Mi Tienda Del Ahorro	Chicolastic 	M	4	40	Pañal Bebe	Chicolastic  M 4/40	33
Mi Tienda Del Ahorro	Chicolastic 	G	4	40	Pañal Bebe	Chicolastic  G 4/40	34
Mi Tienda Del Ahorro	Chicolastic 	XG	4	40	Pañal Bebe	Chicolastic  XG 4/40	35
Mi Tienda Del Ahorro	Chicolastic 	XXG	4	40	Pañal Bebe	Chicolastic  XXG 4/40	36
